"branch","flightCode","departureDateTime","departureAirPort","arrivalDateTime","arrivalAirPort","price"
1,"VJ122","2020-10-19 23:25:00",12,"2020-10-20 01:35:00",1,723900
1,"VJ124","2020-10-20 00:20:00",12,"2020-10-20 02:30:00",1,723900
1,"VJ166","2020-10-20 02:25:00",12,"2020-10-20 04:35:00",1,723900
1,"VJ126","2020-10-20 03:25:00",12,"2020-10-20 05:35:00",1,723900
1,"VJ130","2020-10-20 04:10:00",12,"2020-10-20 06:20:00",1,723900
1,"VJ150","2020-10-20 05:15:00",12,"2020-10-20 07:25:00",1,723900
1,"VJ198","2020-10-20 07:15:00",12,"2020-10-20 09:25:00",1,723900
1,"VJ168","2020-10-20 10:30:00",12,"2020-10-20 12:40:00",1,723900
1,"VJ158","2020-10-20 11:05:00",12,"2020-10-20 13:15:00",1,723900
1,"VJ132","2020-10-20 11:10:00",12,"2020-10-20 13:20:00",1,723900
1,"VJ156","2020-10-20 12:35:00",12,"2020-10-20 14:45:00",1,723900
1,"VJ178","2020-10-20 12:55:00",12,"2020-10-20 15:05:00",1,723900
1,"VJ148","2020-10-20 13:50:00",12,"2020-10-20 16:00:00",1,723900
1,"VJ120","2020-10-19 22:50:00",12,"2020-10-20 01:00:00",1,778900
1,"VJ140","2020-10-20 02:55:00",12,"2020-10-20 05:05:00",1,778900
2,"VN6002","2020-10-19 23:20:00",12,"2020-10-20 01:30:00",1,803900
2,"VN6020","2020-10-20 05:20:00",12,"2020-10-20 07:30:00",1,803900
2,"VN6026","2020-10-20 07:20:00",12,"2020-10-20 09:30:00",1,803900
2,"VN6010","2020-10-20 09:20:00",12,"2020-10-20 11:30:00",1,803900
2,"VN6022","2020-10-20 11:20:00",12,"2020-10-20 13:30:00",1,803900
2,"VN6014","2020-10-20 13:20:00",12,"2020-10-20 15:30:00",1,803900
2,"VN6028","2020-10-20 15:10:00",12,"2020-10-20 17:15:00",1,803900
3,"QH202","2020-10-19 22:45:00",12,"2020-10-20 00:55:00",1,844900
3,"QH210","2020-10-20 00:05:00",12,"2020-10-20 02:10:00",1,844900
3,"QH218","2020-10-20 03:40:00",12,"2020-10-20 05:50:00",1,844900
3,"QH206","2020-10-20 11:00:00",12,"2020-10-20 13:10:00",1,844900
3,"QH208","2020-10-20 13:55:00",12,"2020-10-20 16:05:00",1,844900
2,"VN6024","2020-10-20 01:20:00",12,"2020-10-20 03:30:00",1,902900
2,"VN6006","2020-10-20 03:20:00",12,"2020-10-20 05:30:00",1,902900
4,"VN206","2020-10-19 23:00:00",12,"2020-10-20 01:10:00",1,913900
4,"VN242","2020-10-20 00:00:00",12,"2020-10-20 02:10:00",1,913900
4,"VN208","2020-10-20 01:00:00",12,"2020-10-20 03:10:00",1,913900
4,"VN248","2020-10-20 02:00:00",12,"2020-10-20 04:10:00",1,913900
4,"VN210","2020-10-20 03:00:00",12,"2020-10-20 05:10:00",1,913900
4,"VN254","2020-10-20 04:00:00",12,"2020-10-20 06:10:00",1,913900
4,"VN212","2020-10-20 05:00:00",12,"2020-10-20 07:10:00",1,913900
4,"VN260","2020-10-20 06:00:00",12,"2020-10-20 08:10:00",1,913900
4,"VN214","2020-10-20 07:00:00",12,"2020-10-20 09:10:00",1,913900
4,"VN266","2020-10-20 08:00:00",12,"2020-10-20 10:10:00",1,913900
4,"VN216","2020-10-20 09:00:00",12,"2020-10-20 11:10:00",1,913900
4,"VN272","2020-10-20 10:00:00",12,"2020-10-20 12:10:00",1,913900
4,"VN218","2020-10-20 11:00:00",12,"2020-10-20 13:10:00",1,913900
4,"VN280","2020-10-20 12:00:00",12,"2020-10-20 14:10:00",1,913900
4,"VN286","2020-10-20 14:00:00",12,"2020-10-20 16:10:00",1,913900
3,"QH204","2020-10-20 07:55:00",12,"2020-10-20 10:05:00",1,954900
